,Unnamed: 0,Name,Homepage
3,0.0,AVANADE NORWAY AS,www.avanade.com
5,0.0,BANQSOFT AS,www.banqsoft.no
6,0.0,BREDVID AS,bredvid.no
10,0.0,INTERNATIONAL BUSINESS MACHINES AS,www.ibm.com/no
17,0.0,MICROSOFT NORGE AS,www.microsoft.com/norge/
18,0.0,MOVE AS,www.move.no
19,0.0,MÃ˜LLER DIGITAL AS,www.moller.no
20,0.0,NORSK BYGGTJENESTE AS,www.byggtjeneste.no
21,0.0,OLIASOFT AS,www.oliasoft.com
22,0.0,PROACT IT NORGE AS,www.proact.no
24,0.0,REDPILL LINPRO CLOUDOPS AS,redpill-linpro.com
26,0.0,SIMPLIFAI AS,www.simplifai.ai/
27,0.0,Skog-Data AS,www.skogdata.no
28,0.0,TISE AS,www.tise.com
29,0.0,TRADESOLUTION AS,www.tradesolution.no
30,0.0,VERIFONE NORWAY AS,www.verifone.no
33,0.0,AGENS AS,www.agens.no
34,0.0,AMESTO SOLUTIONS AS,www.amestosolutions.no
36,0.0,CLOUD CONNECTION AS,www.cloudconnection.no
37,0.0,CRAYON AS,www.crayon.no
38,0.0,DISTRIBUTION INNOVATION AS,www.di.no
39,0.0,EASY PARK AS,www.easypark.no
40,0.0,EVERBRIDGE NORWAY AS,www.ums.no
41,0.0,GELATO ASA,www.gelatogroup.com
42,0.0,JOTTA AS,www.jotta.no
43,0.0,KEZZLER AS,www.kezzler.com
44,0.0,KNOWIT DECISION AS,www.knowit.no
45,0.0,NAGARRO AS,www.conduct.no
48,0.0,PUZZLEPART AS,www.puzzlepart.com
49,0.0,RETRIEVER NORGE AS,www.retriever.no
50,0.0,SARIBA CONSULTING AS,www.sariba.com
51,0.0,TATA CONSULTANCY SERVICES LIMITED,www.tcs.com
55,0.0,DIGNIO AS,www.dignio.no
56,0.0,DOGU SALESSCREEN AS,www.dogu.no
57,0.0,SCIENTA AS,www.scienta.no
58,0.0,3 STEP IT AS,www.3stepit.com
59,0.0,ABC STARTSIDEN AS,www.startsiden.no
60,0.0,ABOVEIT AS,www.aboveit.no
62,0.0,ADDSECURE AS,www.addsecure.no
64,0.0,ADVANIA NORGE AS,www.advania.no
71,0.0,ARDOQ AS,www.ardoq.com
73,0.0,ATEA AS,www.atea.no
74,0.0,ATTENSI AS,www.attensi.com
75,0.0,AVELLA AS,www.avella.no
78,0.0,BEKK CONSULTING AS,www.bekk.no
79,0.0,BLANK AS,blank.no
80,0.0,BLINQ AS,www.blinq.no
82,0.0,BOUVET NORGE AS,www.bouvet.no
84,0.0,BULK DATA CENTERS AS,www.bulk.no
85,0.0,BUYPASS AS,www.buypass.no
86,0.0,CAPGEMINI NORGE AS,www.no.capgemini.com
87,0.0,CAPRA CONSULTING AS,www.capraconsulting.no
90,0.0,CGI NORGE AS,www.cginorge.no
91,0.0,COLUMBUS NORWAY AS,www.columbusglobal.no
93,0.0,CONSCIA NORGE AS,www.conscia.no
94,0.0,CRAYON GROUP AS,www.crayon.com
97,0.0,DEEPINSIGHT AS,www.deepinsight.io/
99,0.0,DEKODE INTERAKTIV AS,www.dekode.no
103,0.0,EG NORGE AS,eg.no
106,0.0,EMBRIQ AS,www.embriq.no
109,0.0,EXPERIS AS,www.experis.no
112,0.0,EXSITEC AS,www.exsitec.no
